ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,18,28
1,6,6,3,18,45
9,4,4,1,17,38
3,4,1,2,53,63
8,2,1,3,44,63
2,1,1,5,57,88
4,1,1,5,50,81
7,3,3,5,65,76
5,1,5,6,82,91
6,4,5,6,78,87
10,1,5,6,6,14
12,1,5,6,1,9
11,3,6,1,14,34
13,4,1,6,31,58
14,6,5,6,46,55
16,5,4,2,9,21
15,3,2,6,23,40
17,2,5,1,6,28
22,3,3,1,7,18
19,6,1,4,27,54
20,4,1,6,24,63
24,6,1,2,77,87
23,2,1,3,80,101
21,4,2,3,96,105
25,1,1,5,74,108
18,3,3,5,113,124
26,3,2,4,12,25
29,4,2,6,4,30
30,6,4,6,16,28
27,6,1,3,57,69
28,6,1,2,81,90
31,2,5,6,12,21
32,3,5,6,8,17
36,1,6,2,13,43
35,4,6,1,14,53
37,5,6,1,12,51
40,3,1,6,49,75
33,6,3,6,72,87
41,2,6,1,74,110
34,6,4,1,98,123
39,4,3,1,127,145
38,5,2,1,138,147
42,4,6,3,18,34
43,3,6,1,17,45
45,3,1,6,42,68
44,5,5,6,60,69
47,4,1,2,18,27
46,2,2,5,29,43
50,1,1,6,14,48
48,2,5,6,42,50
49,3,2,1,67,75
51,6,1,2,3,12
56,2,2,5,1,21
53,5,4,5,22,31
54,2,5,6,30,38
52,5,4,1,54,74
55,2,3,1,55,66
57,5,1,5,64,82
58,6,1,6,15,41
66,2,3,6,7,21
60,4,6,2,37,66
59,1,6,1,41,81
62,2,6,1,35,75
65,5,2,1,58,67
63,5,1,6,77,98
61,4,3,1,119,131
68,5,1,4,3,24
69,2,3,5,15,32
67,3,1,6,3,41
75,5,6,5,25,35
76,4,4,3,40,50
72,2,6,2,33,71
71,2,4,2,52,71
73,1,4,1,51,79
70,3,1,2,85,93
74,2,3,6,92,106
78,1,1,4,15,32
77,4,1,6,18,46
79,5,1,6,15,43
81,5,4,2,48,60
80,3,1,2,73,81
82,4,1,4,6,21
83,1,6,2,31,60
85,3,4,2,43,55
84,4,5,1,35,66
86,2,4,1,41,63
87,5,2,1,69,78
88,3,1,2,3,13
91,4,1,2,2,12
90,2,1,4,2,31
89,6,3,5,23,40
92,2,4,1,46,60
93,4,3,6,9,24
95,3,6,5,18,26
94,6,1,4,47,62
96,5,1,2,73,82
97,6,1,4,91,106
99,1,1,2,118,128
98,6,1,5,121,145
100,5,1,2,156,165
101,2,1,2,6,14
102,1,1,3,5,21
103,2,6,1,33,53
104,4,1,2,3,12
105,2,1,4,2,23
111,6,4,6,12,29
110,3,5,6,22,30
108,6,6,2,39,57
106,3,1,3,67,80
107,5,1,5,66,90
109,4,1,2,106,115
113,3,1,4,3,19
112,4,1,6,6,35
114,5,4,6,20,32
116,4,1,2,47,57
115,4,1,5,51,76
117,6,5,6,3,12
121,4,3,1,20,38
122,3,2,1,27,36
